case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
3036710,CA,Mountain View IV,2012.0,49,49.0,-116.57569099999999,33.883293
3036761,AK,Sand Point,2012.0,2,1.0,-160.490585,55.344799
3036851,ID,Power County,2011.0,18,45.0,-112.75508899999998,42.746895
3036853,WA,Lower Snake River Phase I,2011.0,94,216.2,-117.86178600000001,46.521194
3036958,AK,Emmonak 1,2011.0,4,0.4,-164.55728100000002,62.783198999999996
3036966,CA,Vasco (repower),2011.0,34,78.2,-121.70428500000001,37.784794
3036971,CO,Cedar Creek II,2011.0,60,150.0,-103.736389,40.905693
3037156,AK,Shaktoolik,2012.0,2,0.2,-161.202072,64.360191
3037199,CA,Inland Empire Utility Agency,2011.0,1,1.0,-117.52638999999999,34.084896
3037202,TX,Ralls Wind Farm,2011.0,5,10.0,-101.39408900000001,33.661293
3037210,NM,Red Mesa,2010.0,64,102.4,-107.370392,35.244392
3037279,OK,Crossroads,2011.0,85,195.5,-98.85659,36.096596000000005
3037379,MI,Tuscola Bay Wind,2012.0,67,107.2,-83.674194,43.500393
3037383,IL,Pioneer Trail,2011.0,94,150.4,-88.009491,40.450092
3037384,KS,Post Rock,2012.0,134,201.0,-98.40889,38.889793
3037389,MI,Michigan Wind II,2011.0,50,90.0,-82.802696,43.654590999999996
3037415,ND,Bison Wind 2,2012.0,35,105.0,-101.630791,46.923092
3037429,KS,Flat Ridge Wind Farm,2009.0,40,100.0,-98.536392,37.385692999999996
3037472,MI,Harvest II,2012.0,33,59.4,-83.272797,43.853493
3037503,KS,Ironwood I,2012.0,73,167.9,-99.740189,37.815692999999996
3037507,PA,Laurel Hill,2012.0,30,69.0,-76.97399899999999,41.549191
3037518,ME,Record Hill,2011.0,22,50.6,-70.627701,44.63369
3037520,KS,Cimarron II,2012.0,57,131.1,-100.357292,37.934994
3037530,MN,Big Blue Wind Farm,2012.0,18,36.0,-94.242889,43.64439
3037550,IA,Flying Cloud,2003.0,29,43.5,-95.343689,43.377392
3037581,MI,McKinley Wind Park,2012.0,9,14.4,-83.266632,43.893570000000004
3037589,IA,Luther College,2011.0,1,1.6,-91.817696,43.309093
3037594,IA,Roeder Farms,2011.0,1,1.6,-93.28319499999999,43.297290999999994
3037595,IA,Wind Walkers,2011.0,1,1.6,-93.221489,43.384693
3037604,MI,Sigel Wind Park,2012.0,40,64.0,-82.801796,43.914291
3037657,CO,Limon II,2012.0,125,200.0,-103.572792,39.311091999999995
3037690,IL,Testa Produce,2011.0,1,0.75,-87.653992,41.810691999999996
3037693,IN,Northwestern School Corporation,2012.0,1,0.9,-86.204498,40.523193
3037704,MA,Charlestown Wind Turbine,2011.0,1,1.5,-71.070999,42.391490999999995
3037708,MI,Heritage Garden,2012.0,14,28.0,-86.557838,45.791431
3037731,KS,Flat Ridge 2 Expansion,2012.0,32,51.2,-98.10719300000001,37.381794
3037762,IA,AG Land 6,2012.0,1,1.6,-93.63679499999999,42.335491
3037763,IA,AG Land 5,2012.0,1,1.6,-93.63209499999999,42.335491
3037798,IA,Rippey,2012.0,20,50.0,-94.231491,41.990192
3037804,IA,Eclipse,2012.0,87,200.1,-94.736191,41.522490999999995
3037945,MN,Prairie Rose,2012.0,119,199.92,-96.329193,43.803692
3038059,MA,Fairhaven Wind,2012.0,2,3.0,-70.8722,41.637192
3038060,KS,Spearville 3,2012.0,63,100.8,-99.812187,37.875393
3038143,KS,Shooting Star,2012.0,65,104.0,-99.46189100000001,37.498196
3038152,IL,Bishop Hill II,2012.0,50,81.0,-90.160995,41.259192999999996
3038202,NE,Petersburg,2011.0,27,40.5,-97.916794,41.866493
3038206,IA,Hawkeye,2012.0,15,37.5,-91.99659,42.928492999999996
3038255,IA,AG Land 3,2012.0,1,1.6,-93.43199200000001,42.145592
3038256,IA,AG Land 2,2012.0,1,1.6,-93.428093,42.146091
3038257,IA,AG Land 4,2012.0,1,1.6,-93.354897,41.904194
3038262,KS,Ensign,2012.0,4,9.2,-100.298393,37.630695
3038313,IA,Junction Hilltop Wind,2012.0,5,8.0,-94.26299300000001,42.103794
3038315,MN,Lakeswind,2014.0,32,48.0,-96.276894,46.668892
3038398,MN,University of MN -- Morris,2011.0,1,1.65,-95.877892,45.58469
3038404,NE,Broken Bow I,2012.0,50,80.0,-99.572693,41.471394000000004
3038416,IL,MUTI Wind Turbine,2010.0,1,0.1,-87.851395,41.09539
