Year,Cents per KwH,CPI Value,Real Price,State
2010,13.24,218.1,10.75,VT
2009,12.75,214.5,10.53,VT
2008,12.33,215.3,10.14,VT
2007,12.04,207.3,10.29,VT
2006,11.37,201.6,9.99,VT
2005,10.95,195.3,9.93,VT
2004,11.02,188.9,10.33,VT
2003,10.98,184.0,10.57,VT
2002,10.87,179.9,10.7,VT
2001,10.86,177.1,10.86,VT
2018,9.55,250.5,6.75,VA
2017,9.18,245.1,6.63,VA
2016,9.09,240.0,6.71,VA
2015,9.31,237.0,6.96,VA
2014,9.17,236.7,6.86,VA
2013,8.96,233.0,6.81,VA
2012,9.07,229.6,7.0,VA
2011,8.84,224.9,6.96,VA
2010,8.69,218.1,7.06,VA
2009,8.93,214.5,7.37,VA
2008,8.0,215.3,6.58,VA
2007,7.12,207.3,6.08,VA
2006,6.86,201.6,6.03,VA
2005,6.64,195.3,6.02,VA
2004,6.43,188.9,6.03,VA
2003,6.27,184.0,6.03,VA
2002,6.23,179.9,6.13,VA
2001,6.18,177.1,6.18,VA
2018,7.98,250.5,5.64,WA
2017,7.94,245.1,5.74,WA
2016,7.68,240.0,5.67,WA
2015,7.4,237.0,5.53,WA
2014,7.13,236.7,5.33,WA
2013,7.09,233.0,5.39,WA
2012,6.94,229.6,5.35,WA
2011,6.78,224.9,5.34,WA
2010,6.66,218.1,5.41,WA
2009,6.59,214.5,5.44,WA
2008,6.55,215.3,5.39,WA
2007,6.37,207.3,5.44,WA
2006,6.14,201.6,5.39,WA
2005,5.87,195.3,5.32,WA
2004,5.8,188.9,5.44,WA
2003,5.86,184.0,5.64,WA
2002,5.88,179.9,5.79,WA
2001,5.34,177.1,5.34,WA
2018,8.78,250.5,6.21,WV
2017,9.0,245.1,6.5,WV
2016,8.98,240.0,6.63,WV
2015,8.11,237.0,6.06,WV
2014,7.65,236.7,5.72,WV
2013,7.91,233.0,6.01,WV
2012,8.14,229.6,6.28,WV
2011,7.88,224.9,6.21,WV
2010,7.45,218.1,6.05,WV
2009,6.65,214.5,5.49,WV
2008,5.61,215.3,4.61,WV
2007,5.34,207.3,4.56,WV
2006,5.04,201.6,4.43,WV
2005,5.15,195.3,4.67,WV
2004,5.13,188.9,4.81,WV
2003,5.13,184.0,4.94,WV
2002,5.11,179.9,5.03,WV
2001,5.07,177.1,5.07,WV
2018,10.91,250.5,7.71,WI
2017,10.76,245.1,7.77,WI
2016,10.67,240.0,7.87,WI
2015,10.73,237.0,8.02,WI
2014,10.57,236.7,7.91,WI
2013,10.51,233.0,7.99,WI
2012,10.28,229.6,7.93,WI
2011,10.21,224.9,8.04,WI
2010,9.78,218.1,7.94,WI
2009,9.38,214.5,7.74,WI
2008,9.0,215.3,7.4,WI
2007,8.48,207.3,7.24,WI
2006,8.13,201.6,7.14,WI
2005,7.48,195.3,6.78,WI
2004,6.88,188.9,6.45,WI
2003,6.64,184.0,6.39,WI
2002,6.28,179.9,6.18,WI
2001,6.08,177.1,6.08,WI
2018,8.11,250.5,5.73,WY
2017,8.28,245.1,5.98,WY
2016,8.19,240.0,6.04,WY
2015,7.97,237.0,5.96,WY
2014,7.76,236.7,5.81,WY
2013,7.55,233.0,5.74,WY
2012,7.19,229.6,5.55,WY
2011,6.58,224.9,5.18,WY
2010,6.2,218.1,5.03,WY
2009,6.08,214.5,5.02,WY
2008,5.67,215.3,4.66,WY
2007,5.29,207.3,4.52,WY
2006,5.27,201.6,4.63,WY
2005,5.16,195.3,4.68,WY
2004,4.98,188.9,4.67,WY
2003,4.76,184.0,4.58,WY
2002,4.68,179.9,4.61,WY
2001,4.46,177.1,4.46,WY
