,Year,Cents per KwH,CPI Value,Real Price,State
17,2001,6.05,177.1,6.05,AR
0,2018,16.7,250.5,11.81,CA
1,2017,16.06,245.1,11.6,CA
2,2016,15.23,240.0,11.24,CA
3,2015,15.42,237.0,11.52,CA
4,2014,15.15,236.7,11.34,CA
5,2013,14.3,233.0,10.87,CA
6,2012,13.53,229.6,10.44,CA
7,2011,13.05,224.9,10.28,CA
8,2010,13.01,218.1,10.56,CA
9,2009,13.24,214.5,10.93,CA
10,2008,12.49,215.3,10.27,CA
11,2007,12.8,207.3,10.94,CA
12,2006,12.82,201.6,11.26,CA
13,2005,11.63,195.3,10.55,CA
14,2004,11.35,188.9,10.64,CA
15,2003,11.78,184.0,11.34,CA
16,2002,12.19,179.9,12.0,CA
17,2001,11.22,177.1,11.22,CA
0,2018,9.99,250.5,7.06,CO
1,2017,9.99,245.1,7.22,CO
2,2016,9.83,240.0,7.25,CO
3,2015,9.94,237.0,7.43,CO
4,2014,10.06,236.7,7.53,CO
5,2013,9.88,233.0,7.51,CO
6,2012,9.39,229.6,7.24,CO
7,2011,9.39,224.9,7.39,CO
8,2010,9.15,218.1,7.43,CO
9,2009,8.31,214.5,6.86,CO
10,2008,8.59,215.3,7.07,CO
11,2007,7.76,207.3,6.63,CO
12,2006,7.61,201.6,6.69,CO
13,2005,7.64,195.3,6.93,CO
14,2004,6.95,188.9,6.52,CO
15,2003,6.77,184.0,6.52,CO
16,2002,6.0,179.9,5.91,CO
17,2001,6.02,177.1,6.02,CO
0,2018,18.46,250.5,13.05,CT
1,2017,17.55,245.1,12.68,CT
2,2016,17.24,240.0,12.72,CT
3,2015,17.77,237.0,13.28,CT
4,2014,17.05,236.7,12.76,CT
5,2013,15.66,233.0,11.9,CT
6,2012,15.54,229.6,11.99,CT
7,2011,16.35,224.9,12.87,CT
8,2010,17.38,218.1,14.11,CT
9,2009,18.07,214.5,14.92,CT
10,2008,17.8,215.3,14.64,CT
11,2007,16.45,207.3,14.05,CT
12,2006,14.83,201.6,13.03,CT
13,2005,12.06,195.3,10.94,CT
14,2004,10.26,188.9,9.62,CT
15,2003,10.16,184.0,9.78,CT
16,2002,9.71,179.9,9.56,CT
17,2001,9.62,177.1,9.62,CT
0,2018,10.61,250.5,7.5,DE
1,2017,10.9,245.1,7.88,DE
2,2016,11.09,240.0,8.18,DE
3,2015,11.17,237.0,8.35,DE
4,2014,11.22,236.7,8.39,DE
5,2013,10.9,233.0,8.28,DE
6,2012,11.06,229.6,8.53,DE
7,2011,11.48,224.9,9.04,DE
8,2010,11.97,218.1,9.72,DE
9,2009,12.2,214.5,10.07,DE
10,2008,12.38,215.3,10.18,DE
11,2007,11.35,207.3,9.7,DE
12,2006,10.13,201.6,8.9,DE
13,2005,7.76,195.3,7.04,DE
14,2004,7.53,188.9,7.06,DE
15,2003,6.96,184.0,6.7,DE
16,2002,6.91,179.9,6.8,DE
17,2001,6.8,177.1,6.8,DE
0,2018,10.43,250.5,7.37,FL
1,2017,10.42,245.1,7.53,FL
2,2016,9.91,240.0,7.31,FL
3,2015,10.49,237.0,7.84,FL
4,2014,10.77,236.7,8.06,FL
5,2013,10.22,233.0,7.77,FL
6,2012,10.44,229.6,8.05,FL
7,2011,10.61,224.9,8.35,FL
8,2010,10.58,218.1,8.59,FL
9,2009,11.49,214.5,9.49,FL
10,2008,10.74,215.3,8.83,FL
11,2007,10.33,207.3,8.83,FL
12,2006,10.45,201.6,9.18,FL
13,2005,8.76,195.3,7.94,FL
14,2004,8.16,188.9,7.65,FL
15,2003,7.72,184.0,7.43,FL
16,2002,7.31,179.9,7.2,FL
17,2001,7.67,177.1,7.67,FL
0,2018,9.52,250.5,6.73,GA
1,2017,9.83,245.1,7.1,GA
2,2016,9.59,240.0,7.08,GA
3,2015,9.62,237.0,7.19,GA
4,2014,10.03,236.7,7.5,GA
5,2013,9.69,233.0,7.37,GA
6,2012,9.37,229.6,7.23,GA
7,2011,9.61,224.9,7.57,GA
8,2010,8.87,218.1,7.2,GA
9,2009,8.81,214.5,7.27,GA
10,2008,8.84,215.3,7.27,GA
11,2007,7.86,207.3,6.71,GA
12,2006,7.63,201.6,6.7,GA
13,2005,7.43,195.3,6.74,GA
14,2004,6.58,188.9,6.17,GA
15,2003,6.32,184.0,6.08,GA
16,2002,6.24,179.9,6.14,GA
17,2001,6.39,177.1,6.39,GA
0,2018,29.22,250.5,20.66,HI
1,2017,26.05,245.1,18.82,HI
2,2016,23.87,240.0,17.61,HI
3,2015,26.17,237.0,19.56,HI
4,2014,33.43,236.7,25.01,HI
5,2013,33.26,233.0,25.28,HI
6,2012,34.04,229.6,26.26,HI
7,2011,31.59,224.9,24.88,HI
8,2010,25.12,218.1,20.4,HI
9,2009,21.21,214.5,17.51,HI
10,2008,29.2,215.3,24.02,HI
11,2007,21.29,207.3,18.19,HI
12,2006,20.72,201.6,18.2,HI
13,2005,18.33,195.3,16.62,HI
14,2004,15.7,188.9,14.72,HI
15,2003,14.47,184.0,13.93,HI
16,2002,13.39,179.9,13.18,HI
17,2001,14.05,177.1,14.05,HI
0,2018,8.2,250.5,5.8,ID
1,2017,8.26,245.1,5.97,ID
2,2016,8.08,240.0,5.96,ID
3,2015,8.09,237.0,6.05,ID
4,2014,7.93,236.7,5.93,ID
5,2013,7.57,233.0,5.75,ID
6,2012,6.92,229.6,5.34,ID
7,2011,6.44,224.9,5.07,ID
8,2010,6.54,218.1,5.31,ID
9,2009,6.51,214.5,5.37,ID
10,2008,5.69,215.3,4.68,ID
11,2007,5.07,207.3,4.33,ID
12,2006,4.92,201.6,4.32,ID
13,2005,5.12,195.3,4.64,ID
14,2004,4.97,188.9,4.66,ID
15,2003,5.22,184.0,5.02,ID
16,2002,5.58,179.9,5.49,ID
17,2001,4.92,177.1,4.92,ID
0,2018,9.46,250.5,6.69,IL
1,2017,9.49,245.1,6.86,IL
2,2016,9.38,240.0,6.92,IL
3,2015,9.4,237.0,7.02,IL
4,2014,9.36,236.7,7.0,IL
5,2013,8.26,233.0,6.28,IL
6,2012,8.4,229.6,6.48,IL
7,2011,8.97,224.9,7.06,IL
8,2010,9.13,218.1,7.41,IL
9,2009,9.15,214.5,7.55,IL
10,2008,9.23,215.3,7.59,IL
11,2007,8.46,207.3,7.23,IL
12,2006,7.07,201.6,6.21,IL
13,2005,6.95,195.3,6.3,IL
14,2004,6.8,188.9,6.38,IL
15,2003,6.86,184.0,6.6,IL
16,2002,6.94,179.9,6.83,IL
17,2001,6.9,177.1,6.9,IL
0,2018,9.6,250.5,6.79,IN
1,2017,9.77,245.1,7.06,IN
2,2016,9.22,240.0,6.8,IN
3,2015,8.99,237.0,6.72,IN
4,2014,9.06,236.7,6.78,IN
5,2013,8.73,233.0,6.64,IN
6,2012,8.29,229.6,6.39,IN
7,2011,8.01,224.9,6.31,IN
8,2010,7.67,218.1,6.23,IN
9,2009,7.62,214.5,6.29,IN
10,2008,7.09,215.3,5.83,IN
11,2007,6.5,207.3,5.55,IN
12,2006,6.46,201.6,5.67,IN
13,2005,5.88,195.3,5.33,IN
14,2004,5.58,188.9,5.23,IN
15,2003,5.37,184.0,5.17,IN
16,2002,5.34,179.9,5.26,IN
17,2001,5.3,177.1,5.3,IN
0,2018,9.14,250.5,6.46,IA
1,2017,8.73,245.1,6.31,IA
2,2016,8.55,240.0,6.31,IA
3,2015,8.35,237.0,6.24,IA
4,2014,8.15,236.7,6.1,IA
5,2013,8.07,233.0,6.13,IA
