,Year,Cents per KwH,CPI Value,Real Price,State
9,2009,14.22,214.5,11.74,RI
10,2008,16.04,215.3,13.19,RI
11,2007,13.12,207.3,11.21,RI
12,2006,13.98,201.6,12.28,RI
13,2005,11.97,195.3,10.85,RI
14,2004,10.96,188.9,10.28,RI
15,2003,10.47,184.0,10.08,RI
16,2002,9.2,179.9,9.06,RI
17,2001,11.45,177.1,11.45,RI
0,2018,9.72,250.5,6.87,SC
1,2017,9.97,245.1,7.2,SC
2,2016,9.79,240.0,7.22,SC
3,2015,9.58,237.0,7.16,SC
4,2014,9.67,236.7,7.24,SC
5,2013,9.24,233.0,7.02,SC
6,2012,9.1,229.6,7.02,SC
7,2011,8.8,224.9,6.93,SC
8,2010,8.49,218.1,6.89,SC
9,2009,8.42,214.5,6.95,SC
10,2008,7.85,215.3,6.46,SC
11,2007,7.18,207.3,6.13,SC
12,2006,6.98,201.6,6.13,SC
13,2005,6.72,195.3,6.09,SC
14,2004,6.22,188.9,5.83,SC
15,2003,6.08,184.0,5.85,SC
16,2002,5.83,179.9,5.74,SC
17,2001,5.77,177.1,5.77,SC
0,2018,9.93,250.5,7.02,SD
1,2017,10.05,245.1,7.26,SD
2,2016,9.83,240.0,7.25,SD
3,2015,9.47,237.0,7.08,SD
4,2014,9.05,236.7,6.77,SD
5,2013,8.86,233.0,6.73,SD
6,2012,8.49,229.6,6.55,SD
7,2011,8.05,224.9,6.34,SD
8,2010,7.82,218.1,6.35,SD
9,2009,7.39,214.5,6.1,SD
10,2008,7.14,215.3,5.87,SD
11,2007,6.89,207.3,5.89,SD
12,2006,6.7,201.6,5.89,SD
13,2005,6.6,195.3,5.98,SD
14,2004,6.44,188.9,6.04,SD
15,2003,6.35,184.0,6.11,SD
16,2002,6.26,179.9,6.16,SD
17,2001,6.35,177.1,6.35,SD
0,2018,9.61,250.5,6.79,TN
1,2017,9.45,245.1,6.83,TN
2,2016,9.23,240.0,6.81,TN
3,2015,9.3,237.0,6.95,TN
4,2014,9.4,236.7,7.03,TN
5,2013,9.13,233.0,6.94,TN
6,2012,9.27,229.6,7.15,TN
7,2011,9.28,224.9,7.31,TN
8,2010,8.61,218.1,6.99,TN
9,2009,8.69,214.5,7.17,TN
10,2008,8.18,215.3,6.73,TN
11,2007,7.07,207.3,6.04,TN
12,2006,6.97,201.6,6.12,TN
13,2005,6.31,195.3,5.72,TN
14,2004,6.14,188.9,5.76,TN
15,2003,5.84,184.0,5.62,TN
16,2002,5.72,179.9,5.63,TN
17,2001,5.59,177.1,5.59,TN
0,2018,8.67,250.5,6.13,TX
1,2017,8.38,245.1,6.06,TX
2,2016,8.43,240.0,6.22,TX
3,2015,8.7,237.0,6.5,TX
4,2014,8.94,236.7,6.69,TX
5,2013,8.66,233.0,6.58,TX
6,2012,8.55,229.6,6.59,TX
7,2011,9.0,224.9,7.09,TX
8,2010,9.34,218.1,7.58,TX
9,2009,9.86,214.5,8.14,TX
10,2008,10.99,215.3,9.04,TX
11,2007,10.11,207.3,8.64,TX
12,2006,10.34,201.6,9.08,TX
13,2005,9.14,195.3,8.29,TX
14,2004,7.95,188.9,7.45,TX
15,2003,7.5,184.0,7.22,TX
16,2002,6.62,179.9,6.52,TX
17,2001,7.38,177.1,7.38,TX
0,2018,8.3,250.5,5.87,UT
1,2017,8.6,245.1,6.21,UT
2,2016,8.72,240.0,6.43,UT
3,2015,8.54,237.0,6.38,UT
4,2014,8.35,236.7,6.25,UT
5,2013,8.15,233.0,6.19,UT
6,2012,7.84,229.6,6.05,UT
7,2011,7.13,224.9,5.61,UT
8,2010,6.94,218.1,5.64,UT
9,2009,6.77,214.5,5.59,UT
10,2008,6.49,215.3,5.34,UT
11,2007,6.41,207.3,5.48,UT
12,2006,5.99,201.6,5.26,UT
13,2005,5.92,195.3,5.37,UT
14,2004,5.69,188.9,5.33,UT
15,2003,5.41,184.0,5.21,UT
16,2002,5.39,179.9,5.31,UT
17,2001,5.21,177.1,5.21,UT
0,2018,15.09,250.5,10.67,VT
1,2017,14.6,245.1,10.55,VT
2,2016,14.46,240.0,10.67,VT
3,2015,14.41,237.0,10.77,VT
4,2014,14.57,236.7,10.9,VT
5,2013,14.61,233.0,11.1,VT
6,2012,14.22,229.6,10.97,VT
7,2011,13.8,224.9,10.87,VT
8,2010,13.24,218.1,10.75,VT
9,2009,12.75,214.5,10.53,VT
10,2008,12.33,215.3,10.14,VT
11,2007,12.04,207.3,10.29,VT
12,2006,11.37,201.6,9.99,VT
13,2005,10.95,195.3,9.93,VT
14,2004,11.02,188.9,10.33,VT
15,2003,10.98,184.0,10.57,VT
16,2002,10.87,179.9,10.7,VT
17,2001,10.86,177.1,10.86,VT
0,2018,9.55,250.5,6.75,VA
1,2017,9.18,245.1,6.63,VA
2,2016,9.09,240.0,6.71,VA
3,2015,9.31,237.0,6.96,VA
4,2014,9.17,236.7,6.86,VA
5,2013,8.96,233.0,6.81,VA
6,2012,9.07,229.6,7.0,VA
7,2011,8.84,224.9,6.96,VA
8,2010,8.69,218.1,7.06,VA
9,2009,8.93,214.5,7.37,VA
10,2008,8.0,215.3,6.58,VA
11,2007,7.12,207.3,6.08,VA
12,2006,6.86,201.6,6.03,VA
13,2005,6.64,195.3,6.02,VA
14,2004,6.43,188.9,6.03,VA
15,2003,6.27,184.0,6.03,VA
16,2002,6.23,179.9,6.13,VA
17,2001,6.18,177.1,6.18,VA
0,2018,7.98,250.5,5.64,WA
1,2017,7.94,245.1,5.74,WA
2,2016,7.68,240.0,5.67,WA
3,2015,7.4,237.0,5.53,WA
4,2014,7.13,236.7,5.33,WA
5,2013,7.09,233.0,5.39,WA
6,2012,6.94,229.6,5.35,WA
7,2011,6.78,224.9,5.34,WA
8,2010,6.66,218.1,5.41,WA
9,2009,6.59,214.5,5.44,WA
10,2008,6.55,215.3,5.39,WA
11,2007,6.37,207.3,5.44,WA
12,2006,6.14,201.6,5.39,WA
13,2005,5.87,195.3,5.32,WA
14,2004,5.8,188.9,5.44,WA
15,2003,5.86,184.0,5.64,WA
16,2002,5.88,179.9,5.79,WA
17,2001,5.34,177.1,5.34,WA
0,2018,8.78,250.5,6.21,WV
1,2017,9.0,245.1,6.5,WV
2,2016,8.98,240.0,6.63,WV
3,2015,8.11,237.0,6.06,WV
4,2014,7.65,236.7,5.72,WV
5,2013,7.91,233.0,6.01,WV
6,2012,8.14,229.6,6.28,WV
7,2011,7.88,224.9,6.21,WV
8,2010,7.45,218.1,6.05,WV
9,2009,6.65,214.5,5.49,WV
10,2008,5.61,215.3,4.61,WV
11,2007,5.34,207.3,4.56,WV
12,2006,5.04,201.6,4.43,WV
13,2005,5.15,195.3,4.67,WV
14,2004,5.13,188.9,4.81,WV
15,2003,5.13,184.0,4.94,WV
16,2002,5.11,179.9,5.03,WV
17,2001,5.07,177.1,5.07,WV
0,2018,10.91,250.5,7.71,WI
1,2017,10.76,245.1,7.77,WI
2,2016,10.67,240.0,7.87,WI
3,2015,10.73,237.0,8.02,WI
4,2014,10.57,236.7,7.91,WI
5,2013,10.51,233.0,7.99,WI
6,2012,10.28,229.6,7.93,WI
7,2011,10.21,224.9,8.04,WI
8,2010,9.78,218.1,7.94,WI
9,2009,9.38,214.5,7.74,WI
10,2008,9.0,215.3,7.4,WI
11,2007,8.48,207.3,7.24,WI
12,2006,8.13,201.6,7.14,WI
13,2005,7.48,195.3,6.78,WI
14,2004,6.88,188.9,6.45,WI
15,2003,6.64,184.0,6.39,WI
16,2002,6.28,179.9,6.18,WI
17,2001,6.08,177.1,6.08,WI
0,2018,8.11,250.5,5.73,WY
1,2017,8.28,245.1,5.98,WY
2,2016,8.19,240.0,6.04,WY
3,2015,7.97,237.0,5.96,WY
4,2014,7.76,236.7,5.81,WY
5,2013,7.55,233.0,5.74,WY
6,2012,7.19,229.6,5.55,WY
7,2011,6.58,224.9,5.18,WY
8,2010,6.2,218.1,5.03,WY
9,2009,6.08,214.5,5.02,WY
10,2008,5.67,215.3,4.66,WY
11,2007,5.29,207.3,4.52,WY
12,2006,5.27,201.6,4.63,WY
13,2005,5.16,195.3,4.68,WY
14,2004,4.98,188.9,4.67,WY
15,2003,4.76,184.0,4.58,WY
16,2002,4.68,179.9,4.61,WY
17,2001,4.46,177.1,4.46,WY
