,p_year,p_cap
0,2002.0,25.94483333333334
1,2003.0,41.83054054054054
2,2004.0,19.170952380952382
3,2005.0,64.36190476190475
4,2006.0,56.89514634146342
5,2007.0,91.71549999999999
6,2008.0,70.24137931034481
7,2009.0,63.88102684563761
8,2010.0,41.67345454545459
9,2011.0,58.484571428571435
10,2012.0,61.14968750000003
11,2013.0,52.470263157894735
12,2014.0,104.74928888888891
13,2015.0,130.04903225806456
14,2016.0,109.40874999999998
15,2017.0,99.97606060606061
16,2018.0,103.35059701492536
17,2019.0,88.49285714285715
