,case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
6176,3014868,MT,Horseshoe Bend/ranch pit,2006.0,6,9.0,-111.439186,47.506091999999995
6207,3015025,OK,Weatherford Wind Energy Center,2005.0,71,106.5,-98.789291,35.519295
6274,3015096,NM,Caprock Wind Ranch,2004.0,60,60.0,-103.386589,34.996193
6344,3015176,OK,Weatherford Wind Energy Center Expansion,2005.0,27,40.5,-98.70188900000001,35.480095
6369,3015201,OK,Blue Canyon II,2005.0,84,151.2,-98.629494,34.891895
6429,3015262,HI,Kaheawa (Maalaea),2006.0,20,30.0,-156.556183,20.824797
6448,3015284,IA,Stuart,2005.0,1,0.66,-94.327393,41.493992
6449,3015285,IA,Century Expansion,2005.0,35,35.0,-93.63879399999999,42.505993
6489,3015333,NE,Ainsworth Wind Project (NPPD),2005.0,36,59.4,-99.874794,42.459492
6525,3015467,NY,Steel Winds,2007.0,8,20.0,-78.863998,42.812290000000004
6536,3015478,NY,Maple Ridge,2006.0,112,184.8,-75.576599,43.789291
6687,3015630,PA,North Allegheny,2009.0,35,70.0,-78.566498,40.373492999999996
6690,3015643,PA,Locust Ridge II,2009.0,51,102.0,-76.14859799999999,40.850792
6701,3015657,NY,Munnsville,2007.0,23,34.5,-75.539795,42.953990999999995
6704,3015661,MN,Trimont Wind,2005.0,67,100.5,-94.853394,43.81369
6759,3015722,ND,Velva Wind Farm,2006.0,18,11.88,-100.88229399999999,48.101791
6783,3015788,MN,East Ridge,2006.0,8,10.0,-95.91239200000001,43.938190000000006
6784,3015789,MN,Blue Breezes I & II,2006.0,2,2.5,-94.15361,43.655834000000006
6787,3015793,ND,Wilton Wind Farm,2005.0,21,31.5,-100.714493,47.136494
6815,3015821,MN,Arnold Wind Farm,2005.0,1,1.65,-95.84429200000001,43.752693
6820,3015827,MN,Corn Plus,2008.0,2,4.2,-94.13929,43.761993
6821,3015833,MN,Minnesota Wind Share,2006.0,3,5.4,-95.982391,43.957190999999995
6822,3015834,WI,Forward Wind Project,2008.0,86,129.0,-88.53439300000001,43.65789
6824,3015837,IL,Camp Grove,2007.0,100,150.0,-89.68869000000001,41.095493
6885,3015899,RI,Portsmouth Abbey School,2006.0,1,0.66,-71.2687,41.599090999999994
6886,3015902,MA,MWRA Deer Island,2009.0,2,1.2,-70.957298,42.347091999999996
6887,3015903,WY,F.E. Warren Air Force Base,2005.0,2,1.32,-104.88298799999998,41.175995
6889,3015906,WA,Wild Horse I,2006.0,127,228.6,-120.223984,47.015293
7016,3016034,OR,Leaning Juniper,2006.0,67,100.5,-120.26088700000001,45.665993
7050,3016069,TX,Sweetwater Phase III,2005.0,90,135.0,-100.50099200000001,32.326595000000005
7078,3016242,NM,San Juan Mesa,2005.0,120,120.0,-103.84769399999999,33.971695000000004
7179,3016354,TX,Forest Creek Wind Project,2006.0,54,124.2,-101.254593,32.018597
7185,3016360,TX,Snyder,2007.0,21,63.0,-100.728592,32.727394
7206,3016383,TX,Buffalo Gap Wind Farm,2005.0,67,120.6,-100.095795,32.304695
7275,3016639,NM,Aragonne Wind LLC (Pastura),2006.0,90,90.0,-105.14798700000001,34.804992999999996
7362,3016735,TX,Lone Star I,2007.0,88,176.0,-99.490593,32.586395
7523,3016901,CA,Kumeyaay Phase I,2005.0,25,50.0,-116.34539,32.732296000000005
7544,3016924,CA,Shiloh Wind Project,2006.0,76,114.0,-121.86098500000001,38.153294
7636,3017018,CA,Solano Phase IIA,2006.0,8,24.0,-121.77478799999999,38.102196
7651,3017039,AK,Savoonga,2008.0,2,0.2,-170.498077,63.692303
7653,3017041,AK,Tin City Long Range Radar Station,2008.0,1,0.225,-167.96241799999999,65.568611
7654,3017044,IA,Endeavor,2008.0,30,75.0,-95.41469599999999,43.450394
7690,3017084,IA,Hardin-Hilltop,2007.0,7,14.7,-94.35979499999999,42.083492
7697,3017094,KS,Elk River,2005.0,100,150.0,-96.58309200000001,37.595692
7797,3017194,IA,Cross Winds,2007.0,10,21.0,-94.92289,43.047492999999996
7807,3017204,IA,Pomeroy II,2007.0,49,73.5,-94.723389,42.560790999999995
7845,3017341,WV,"NedPower Mount Storm, Phase I",2008.0,82,164.0,-79.197098,39.227493
7847,3017343,NY,Noble Ellenburg,2008.0,54,81.0,-73.925995,44.86499
7893,3017389,NY,Noble Clinton,2008.0,67,100.5,-73.990196,44.937992
7946,3017442,NY,Noble Altona,2009.0,65,97.5,-73.652298,44.827290000000005
8000,3017496,PA,Bear Creek,2006.0,12,24.0,-75.7677,41.232292
8002,3017508,NJ,Jersey Atlantic Wind Farm,2005.0,5,7.5,-74.448502,39.383891999999996
8008,3017516,NY,Noble Bliss,2008.0,67,100.5,-78.245796,42.560390000000005
8038,3017546,NY,Howard,2011.0,25,51.25,-77.568596,42.341393
8053,3017561,PA,Forward,2008.0,14,29.4,-78.863495,40.085293
8067,3017575,PA,Lookout,2008.0,18,37.8,-78.91869399999999,39.880093
8083,3017591,PA,Casselman,2007.0,23,34.5,-79.14299799999999,39.871891
8192,3017704,IL,Twin Groves II,2007.0,98,161.7,-88.603592,40.476692
8200,3017714,ND,Oliver County Wind Energy Center,2006.0,22,50.6,-101.240387,47.179394
8210,3017726,IL,Twin Groves I,2007.0,120,198.0,-88.6633,40.418163
8217,3017741,MN,Mower County Wind Energy Center,2006.0,43,98.9,-92.586189,43.619892
8239,3017768,MN,Tholen & Petersen,2005.0,8,13.2,-96.101395,44.076591
8242,3017771,MN,Ewington,2008.0,10,21.0,-95.417435,43.618103000000005
8244,3017774,MN,Fenton,2007.0,137,205.5,-96.018295,43.852894
8363,3017896,MN,Jeffers,2008.0,20,50.0,-95.276489,44.041393
8382,3017915,MN,Minn-Dakota,2007.0,64,96.0,-96.368492,44.271190999999995
8404,3017939,ND,Rugby,2009.0,71,149.1,-100.034492,48.542792999999996
8425,3017960,WI,Cedar Ridge Wind Farm,2008.0,41,67.65,-88.300896,43.734192
8430,3017967,IL,GSG Wind Farm,2007.0,40,80.0,-89.136597,41.626892
8515,3018053,IL,Big Sky Wind,2011.0,114,239.4,-89.449997,41.583191
8581,3018120,MI,Harvest Wind Farm,2008.0,32,52.8,-83.23039200000001,43.826492
8753,3018313,SD,Chamberlain Wind Project,2001.0,2,2.6,-99.248688,43.847694
8771,3018332,SD,Buffalo Ridge,2009.0,24,50.4,-96.468788,44.439293
8780,3018345,ME,Mars Hill,2007.0,22,33.0,-67.808502,46.552189
8795,3018370,MA,Jiminy Peak Ski Resort,2007.0,1,1.5,-73.292801,42.543793
8796,3018371,CO,Twin Buttes,2007.0,50,75.0,-102.830917,37.695694
8799,3018376,OR,Klondike III,2007.0,80,120.0,-120.662186,45.558395000000004
8908,3018485,UT,Spanish Fork,2008.0,9,18.9,-111.58008600000001,40.072895
8918,3018495,WA,White Creek,2007.0,89,204.7,-120.40868400000001,45.814194
9000,3018577,WA,Marengo I,2007.0,78,140.4,-117.83278700000001,46.390995000000004
9078,3018655,WA,Goodnoe Hills,2008.0,47,94.0,-120.57118200000001,45.775696
9298,3018922,WA,Nine Canyon III,2008.0,14,32.2,-119.16298700000002,46.114494
9303,3018927,CO,Peetz Table,2007.0,267,400.5,-103.52919,40.993393
9427,3019051,WA,Big Horn,2006.0,133,199.5,-120.282684,45.943794
9560,3019184,OR,Elkhorn Valley (La Grande),2007.0,59,97.35,-117.81868700000001,45.112194
9577,3019201,CO,Spring Canyon,2006.0,40,60.0,-103.032494,40.970493
9594,3019218,OR,Threemile Canyon,2009.0,6,9.9,-119.937683,45.675896
9617,3019310,TX,Whirlwind Energy Center,2007.0,26,59.8,-101.082291,34.075794
9639,3019333,TX,Sand Bluff,2007.0,45,90.0,-101.35659,31.999495
9648,3019343,TX,JD Wind 4,2008.0,38,79.8,-101.386589,36.414592999999996
9717,3019416,TX,JD Wind Phase V,2006.0,8,10.0,-101.876389,36.445496
9725,3019434,OK,Centennial Wind Farm,2006.0,40,60.0,-99.662491,36.644794
9757,3019534,TX,Camp Springs,2007.0,87,130.5,-100.82249499999999,32.741993
9833,3019638,TX,JD Wind VI,2007.0,8,10.0,-101.822388,36.466995000000004
9841,3019673,TX,Wege Wind Farm,2008.0,8,10.0,-101.540092,35.350395
9895,3019746,TX,Buffalo Gap 2,2007.0,155,232.5,-100.177094,32.318195
10083,3019945,TX,PYCO Soaring Wind Farm,2008.0,10,10.0,-101.80019399999999,33.554893
10086,3019949,TX,Ocotillo,2008.0,28,58.8,-101.392288,32.160194
10098,3019966,TX,JD Wind 7,2009.0,8,10.0,-101.86369300000001,36.007595
10108,3019979,OK,Sleeping Bear,2007.0,45,94.5,-99.529892,36.629093
10144,3020034,TX,Gulf Wind,2009.0,118,283.2,-97.579193,26.913494
10202,3020098,TX,Roscoe,2008.0,209,209.0,-100.728493,32.531296000000005
10388,3020295,TX,Wildorado,2007.0,70,161.0,-102.343788,35.299892
10503,3020524,HI,Hawi Renewable,2006.0,16,10.56,-155.85498,20.260197
10548,3020571,CA,Dillon,2008.0,45,45.0,-116.58488500000001,33.944595
10575,3020610,HI,Pakini Nui (KA'ALUALU),2007.0,14,21.0,-155.689285,18.974795999999998
10577,3020616,CA,Garnet Wind Project,2009.0,13,6.5,-116.582489,33.902294
10590,3020629,CA,Buena Vista,2006.0,38,38.0,-121.66729,37.805195
10611,3020653,CA,Tehachapi Windplant II,1997.0,13,8.45,-118.293884,35.118694
10623,3020665,AK,St. Paul Island II,2007.0,2,0.675,-170.23738500000002,57.157562
10625,3020668,AK,Kodiak Island Wind Project,2009.0,3,4.5,-152.446075,57.786198
10628,3020671,IA,Pomeroy I,2007.0,82,123.0,-94.74829100000001,42.564091
10701,3020751,KS,Central Plains,2009.0,33,99.0,-101.129494,38.503395000000005
10732,3020785,KS,Smoky Hills,2008.0,56,100.8,-98.02889300000001,38.893093
10783,3020898,IA,Top of Iowa III,2008.0,18,29.7,-93.30289499999999,43.366291
10786,3020901,IA,Crystal Lake I,2008.0,100,150.0,-93.90939300000001,43.146793
10872,3020999,KS,Spearville,2006.0,67,100.5,-99.77329300000001,37.851692
10884,3021024,NE,Elkhorn Ridge,2009.0,27,81.0,-97.620491,42.692993
10905,3021050,KS,Meridian Way,2008.0,35,105.0,-97.601791,39.431793
10939,3021088,KS,Meridian Way II,2008.0,32,96.0,-97.747795,39.413593
10971,3021125,IA,Story County,2008.0,100,150.0,-93.35919200000001,42.145893
11070,3021225,IA,Crystal Lake II,2008.0,76,190.0,-93.86779,43.321793
11146,3021307,KS,Spearville II,2010.0,32,48.0,-99.727692,37.864494
11157,3021332,KS,Smoky Hills II,2008.0,99,148.5,-98.18309,38.900593
11248,3021453,NY,Noble Chateaugay,2009.0,71,106.5,-74.061295,44.923389
11316,3021521,NY,Noble Wethersfield,2009.0,84,126.0,-78.306198,42.62059
11398,3021603,NY,Dutch Hill/Cohocton,2009.0,50,125.0,-77.430595,42.575291
11432,3021640,PA,Locust Ridge,2006.0,13,26.0,-76.185997,40.835293
11534,3021743,NY,Madison Windpower,2000.0,7,11.55,-75.4534,42.892891
11563,3021772,NY,High Sheldon,2009.0,75,112.5,-78.4272,42.761692
11573,3021783,MN,Prairie Star,2007.0,60,99.0,-92.68409,43.614490999999994
11587,3021797,IN,Fowler Ridge I,2009.0,182,300.3,-87.345596,40.602790999999996
11610,3021821,IL,EcoGrove,2009.0,67,100.5,-89.881996,42.494392
11652,3021868,SD,Tatanka,2008.0,59,88.5,-99.00099200000001,45.908091999999996
11701,3021992,ND,Oliver II,2007.0,32,48.0,-101.297989,47.157092999999996
11732,3022025,IL,Grand Ridge,2008.0,66,99.0,-88.705292,41.197292
11763,3022059,IL,Sustainable Technologies Museum (Turbine A,2007.0,1,2.5,-89.24969499999999,41.660294
11764,3022060,IL,Agriwind,2008.0,4,8.4,-89.62359599999999,41.301693
11855,3022216,ND,Langdon - OTP,2008.0,27,40.5,-98.258492,48.744091
12006,3022488,SD,Wessington Springs,2009.0,34,51.0,-98.58429,44.036594
12046,3022529,MN,Nobles Cooperative Electric,2008.0,1,2.1,-95.437294,43.718594
12050,3022541,MN,Elm Creek,2008.0,66,99.0,-94.905991,43.729191
12122,3022636,WI,Butler Ridge,2009.0,36,54.0,-88.473694,43.388191
12184,3022715,NH,Lempster,2008.0,12,24.0,-72.13849599999999,43.248791
12193,3022725,ME,Stetson,2009.0,38,57.0,-67.994598,45.482391
12231,3022763,MA,Forbes Park,2008.0,1,0.6,-71.01329799999999,42.39959
12240,3022773,WY,Mountain Wind I,2008.0,29,60.9,-110.48198700000002,41.288296
12245,3022778,WA,Hopkins Ridge II,2008.0,4,7.2,-117.80688500000001,46.432693
12380,3022916,WA,Marengo II,2008.0,39,70.2,-117.85468300000001,46.361694
12383,3022919,MT,Diamond Willow Wind,2008.0,12,18.0,-104.163391,46.279793
12395,3022932,ID,Mountain Home,2009.0,20,42.0,-115.480286,43.056595
12409,3022948,OR,Pebble Springs,2009.0,47,98.7,-120.12498500000001,45.706196000000006
12459,3023001,WY,Mountain Wind II,2008.0,38,79.8,-110.55899,41.289795
12535,3023091,OR,Klondike IIIA,2008.0,51,76.5,-120.542686,45.550095
12588,3023144,OR,Biglow Canyon I,2007.0,76,125.4,-120.63238500000001,45.659595
12596,3023152,OR,Rattlesnake Road,2008.0,49,102.9,-120.23258999999999,45.713592999999996
12682,3023239,OR,Wheatfield,2009.0,46,96.6,-120.29508999999999,45.666096
12819,3023379,WY,Air Force (Laramie),2009.0,1,2.0,-104.884689,41.178290999999994
12892,3023453,TX,Pyron (Roscoe III),2009.0,166,249.0,-100.652992,32.547695000000004
12894,3023455,TX,Panther Creek I,2008.0,95,142.5,-101.438988,32.008293
12896,3023457,TX,Panther Creek II,2009.0,77,115.5,-101.35149399999999,31.938496
12990,3023551,TX,Majestic,2009.0,53,79.5,-101.531891,35.445194
13043,3023680,TX,Sherbino I,2008.0,50,150.0,-102.393394,30.801695000000002
13230,3023881,TX,Turkey Track,2008.0,113,169.5,-100.287094,32.239197
13300,3023987,TX,Buffalo Gap 3,2008.0,74,170.2,-100.172089,32.295193
13301,3024003,TX,Bull Creek,2008.0,180,180.0,-101.578491,32.959694
13468,3024170,TX,Camp Springs II,2007.0,21,31.5,-100.914192,32.804893
13528,3024231,TX,JD WInd 9,2008.0,8,10.0,-101.998795,35.808193
13531,3024234,TX,JD Wind 11,2009.0,8,10.0,-101.978889,35.811993
13539,3024242,TX,Sweetwater IVb,2007.0,46,105.8,-100.493195,32.286594
13586,3024289,TX,Sweetwater IVa,2007.0,135,135.0,-100.30899000000001,32.357796
13723,3024426,TX,Stanton Energy Center,2008.0,80,120.0,-101.82019,32.217896
13733,3024436,TX,Goat Phase I,2008.0,80,80.0,-100.80789200000001,31.967695000000003
13812,3024515,TX,Goat Phase II,2009.0,29,69.6,-100.789192,31.983496000000002
13837,3024540,TX,JD Wind 8,2009.0,8,10.0,-101.899788,36.026894
13859,3024563,TX,Silver Star I,2008.0,24,60.0,-98.480995,32.345394
13883,3024587,TX,JD Wind 10,2008.0,8,10.0,-101.809692,35.961395
13887,3024591,TX,Sweetwater V,2007.0,35,80.5,-100.453293,32.242695
14038,3024820,TX,Hackberry,2008.0,72,165.6,-99.40419,32.778893
14110,3024894,TX,McAdoo,2008.0,100,150.0,-100.985794,33.769993
14177,3024963,TX,Champion,2008.0,55,126.5,-100.66469599999999,32.396397
14232,3025142,TX,Texas Tech - Nolan,2008.0,1,2.0,-100.526093,32.350196999999994
14241,3025151,NM,Mesalands,2008.0,1,1.5,-103.738991,35.169693
14513,3025426,CA,Solano Wind Project,2007.0,21,63.0,-121.78498799999998,38.109097
14533,3025446,CA,Alite Wind Farm,2008.0,8,24.0,-118.34529099999999,35.035194
14559,3025473,MO,Farmers City,2009.0,73,146.0,-95.492393,40.559895000000004
14568,3025495,IA,Pomeroy III,2008.0,39,58.5,-94.82119,42.630790999999995
14594,3025522,IA,Pioneer Prairie II,2008.0,19,31.35,-92.512596,43.498692
14595,3025523,IA,Pioneer Prairie I,2008.0,120,198.0,-92.55159,43.472893
14599,3025528,IA,Endeavor II,2008.0,20,50.0,-95.482391,43.453091
14618,3025558,IA,Winnebago I,2008.0,10,20.0,-93.77869399999999,43.325790000000005
14627,3025568,IA,Barton,2009.0,80,160.0,-93.114395,43.422492999999996
14718,3025692,IA,Walnut Wind Project,2008.0,102,153.0,-95.23999,41.503192999999996
14727,3025701,IA,Wind Vision,2008.0,1,0.9,-92.88879399999999,43.348091
14819,3025794,IA,Carroll,2008.0,100,150.0,-94.931694,42.147194
14820,3025795,IA,Cannon II,2012.0,1,0.9,-92.368095,42.735493
14826,3025804,IA,Adair,2008.0,76,174.8,-94.69669300000001,41.499092
15080,3026061,PA,Highland Wind Project,2009.0,25,62.5,-78.70399499999999,40.246693
15102,3026084,IL,Rail Splitter,2009.0,67,100.5,-89.433693,40.375591
15141,3026129,MN,Uilk Wind Farm,2009.0,3,4.5,-96.426689,43.981392
15193,3026183,MI,Stoney Corners,2008.0,2,5.0,-85.304794,44.18959
15202,3026192,ND,Turtle Mountain College,2008.0,1,0.66,-99.751793,48.884693
15215,3026206,ND,Ashtabula Wind Center,2008.0,131,196.5,-97.93679,47.191390999999996
15388,3026380,MN,Wapsipinicon Wind,2008.0,67,100.5,-92.699791,43.757092
15442,3026436,MN,Grand Meadow,2008.0,67,100.5,-92.634491,43.741993
15530,3026524,IL,Cayuga Ridge,2010.0,150,300.0,-88.472595,41.000492
15621,3026616,MA,Williams Stone,2009.0,1,0.6,-73.069901,42.234192
15622,3026618,MA,Templeton Wind Turbine,2010.0,1,1.5,-72.077698,42.589092
15624,3026620,MA,Holy Name Catholic High School,2008.0,1,0.6,-71.783897,42.240891
15625,3026621,OR,Hay Canyon,2009.0,48,100.8,-120.60108899999999,45.520893
15637,3026633,ID,Cassia,2009.0,14,29.4,-115.03669,42.843292
15648,3026644,MT,Glacier I,2008.0,71,106.5,-112.132484,48.542491999999996
15649,3026645,MT,Glacier Wind II,2009.0,69,103.5,-112.170685,48.561295
15662,3026658,WY,Seven Mile Hill I & II,2008.0,79,118.5,-106.36599,41.928093
15668,3026665,WA,Windy Point I (Tuolomne Wind Project),2009.0,42,96.6,-120.760185,45.740395
15732,3026740,OR,Echo 1-7,2009.0,27,44.55,-119.40538799999999,45.714195000000004
15762,3026780,WY,Glenrock III,2009.0,26,39.0,-105.834236,43.032973999999996
15914,3026940,TX,Wolf Ridge,2008.0,75,112.5,-97.45859499999999,33.722095
16013,3027041,TX,Noble Great Plains,2009.0,76,114.0,-101.335693,36.447292
16093,3027121,TX,Notrees,2009.0,55,90.75,-102.810989,32.037994
16154,3027182,TX,Elbow Creek Wind Farm,2008.0,53,121.9,-101.42939,32.132195
16156,3027184,OK,Red Hills,2008.0,82,123.0,-99.438393,35.531395
16269,3027297,TX,South Trent Mesa,2009.0,44,101.2,-100.10419499999999,32.416893
16295,3027324,TX,American Windmill Museum,2005.0,1,0.66,-101.823891,33.580894
16449,3027481,CA,Pine Tree Wind Farm,2009.0,80,120.0,-118.19368700000001,35.288197
16529,3027563,PA,Allegheny Ridge,2007.0,40,80.0,-78.55819699999999,40.413994
16532,3027572,ME,Stetson Wind expansion,2010.0,17,25.5,-67.959503,45.584990999999995
16549,3027589,ME,Rollins,2011.0,40,60.0,-68.36460100000001,45.374390000000005
16574,3027614,WV,"NedPower Mount Storm, Phase II",2008.0,50,100.0,-79.246796,39.176792
16575,3027615,IN,Hoosier,2009.0,53,106.0,-87.22829399999999,40.735191
16620,3027665,ME,Presque Isle,2009.0,1,0.6,-68.02020300000001,46.667389
16673,3027722,IA,Iowa Lakes Lakota Wind,2009.0,7,10.5,-94.130493,43.380192
16677,3027727,IA,Iowa Lakes Superior Wind,2009.0,7,10.5,-94.976791,43.451091999999996
16681,3027731,MA,Falmouth Notus,2010.0,1,1.65,-70.608902,41.60849
16733,3027848,IL,Blackstone (Top Crop),2009.0,68,102.0,-88.59429200000001,41.164494
16797,3027916,MI,Michigan Wind I,2008.0,46,69.0,-82.887497,43.752491
16843,3027962,MA,Berkshire Wind,2011.0,10,15.0,-73.274597,42.589890000000004
16861,3027985,IA,Whispering Willow I,2009.0,121,199.65,-93.16239200000001,42.594994
17005,3028134,PA,Armenia Mountain,2009.0,67,100.5,-76.984695,41.743190999999996
17068,3028200,IA,Crane Creek,2009.0,66,99.0,-92.518394,43.430393
17187,3028323,SD,Buffalo Ridge II,2010.0,105,210.0,-96.660088,44.491093
17220,3028357,OK,OU Spirit,2009.0,44,101.2,-99.535393,36.339195000000004
17252,3028389,NM,High Lonesome,2009.0,40,100.0,-105.97458600000002,34.498695
17302,3028440,OR,Leaning Juniper II,2011.0,43,90.3,-120.298988,45.650795
17304,3028442,TX,Papalote Creek,2009.0,109,179.85,-97.532089,27.931696000000002
17377,3028515,TX,Sunray II,2009.0,26,39.0,-101.921791,35.964794
17398,3028536,TX,Sunray I,2009.0,7,10.5,-101.888191,35.935992999999996
17409,3028547,TX,DeWind Little Pringle #2,2010.0,5,10.0,-101.540192,35.964294
17414,3028552,TX,DeWind Little Pringle #1,2010.0,5,10.0,-101.541389,35.924892
17421,3028559,CA,Windland,2009.0,2,3.0,-118.33438100000001,35.091590999999994
17423,3028561,TX,Langford,2009.0,100,150.0,-100.736992,31.135494
17424,3028562,WA,Vantage Point,2010.0,60,90.0,-120.20418500000001,46.951492
17430,3028568,WA,Linden,2010.0,25,50.0,-120.798988,45.733795
17446,3028584,WA,Windy Point II,2009.0,88,202.4,-120.86608899999999,45.703194
17465,3028603,OR,Biglow Canyon II,2009.0,65,149.5,-120.674484,45.661095
17532,3028671,AK,Hooper Bay,2008.0,3,0.3,-166.09758,61.535702
17535,3028675,CA,Shiloh II,2009.0,33,66.0,-121.87208600000001,38.196896
17564,3028707,WY,Glenrock,2008.0,66,99.0,-105.82788799999999,43.098892
17567,3028710,WA,Coastal Energy,2010.0,4,6.0,-124.06868700000001,46.794094
17600,3028743,TX,Panther Creek III,2009.0,133,199.5,-101.098793,32.034195000000004
17733,3028876,AZ,Dry Lake,2009.0,30,63.0,-110.31539199999999,34.638496
17759,3028902,WY,Happy Jack,2008.0,14,29.4,-104.994293,41.132492
17773,3028916,WY,Silver Sage,2009.0,20,42.0,-105.03618600000001,41.137192
17790,3028933,WY,Rolling Hills,2009.0,66,99.0,-105.81899299999999,43.132793
17873,3029016,UT,Milford Phase I,2009.0,58,145.0,-112.91809099999999,38.494495
17971,3029118,TX,Harbor Wind,2012.0,6,9.0,-97.44448100000001,27.832155
17980,3029127,WY,Casper Wind Farm,2009.0,11,16.5,-106.23308600000001,42.884392
17989,3029136,TX,Loraine,2010.0,67,100.5,-100.773094,32.484196000000004
18086,3029233,CO,Northeast Colorado Wind,2009.0,66,151.8,-102.897087,40.988094
18227,3029375,CA,Edom Hills (repower),2008.0,8,20.0,-116.46798700000001,33.886295000000004
18235,3029383,MT,Rim Rock,2012.0,126,189.0,-112.248085,48.781094
18290,3029438,OR,PaTu Wind Farm,2010.0,6,9.0,-120.617287,45.610195000000004
18325,3029474,WA,Wild Horse II,2009.0,22,44.0,-120.23668700000002,47.066593
18408,3029559,OK,Buffalo Bear,2008.0,9,18.9,-99.635292,36.776894
18417,3029568,CA,Brookfield Tehachapi 1 (CCDLP),2012.0,34,102.0,-118.333176,35.055397
18419,3029570,OR,Combine Hills II,2009.0,63,63.0,-118.66169,45.964294
18484,3029640,OR,Elkhorn Valley (08),2008.0,2,3.3,-117.78908500000001,45.109394
18485,3029642,MA,Massachusetts Maritime Academy,2006.0,1,0.66,-70.623802,41.74139
18486,3029643,TX,Penescal,2009.0,84,201.6,-97.49249300000001,27.133896000000004
18489,3029648,ND,Ashtabula II,2009.0,80,120.0,-97.925392,47.321991
18493,3029652,SD,Day County Wind Project,2010.0,66,99.0,-97.915894,45.230793
18503,3029663,DE,University of Delaware,2010.0,1,2.0,-75.164902,38.78289
18504,3029664,IL,Lee/DeKalb,2009.0,145,217.5,-88.880997,41.844494
18507,3029667,OH,Conneaut Middle School,2010.0,1,0.6,-80.559395,41.926193
18508,3029668,OH,Conneaut Waste Water Treatment,2010.0,1,0.4,-80.552094,41.968792
18515,3029676,IA,Story II (aka Garden Wind),2009.0,100,150.0,-93.460297,42.300990999999996
18574,3029738,NY,Hardscrabble,2011.0,37,74.0,-74.904701,43.206790999999996
18580,3029744,VT,Georgia Mountain,2012.0,4,10.0,-73.06871,44.658684
18585,3029749,WV,Pinnacle,2011.0,15,36.0,-79.033501,39.440891
18613,3029779,WI,Blue Sky - Green Field,2008.0,88,145.2,-88.261993,43.865192
18615,3029781,MA,Falmouth Wastewater,2010.0,1,1.65,-70.620796,41.605892
18616,3029782,KS,Greensburg,2010.0,10,12.5,-99.358589,37.550694
18658,3029827,VT,Sheffield,2011.0,12,30.0,-72.104401,44.670891
18661,3029830,IN,Meadow Lake III,2010.0,69,103.5,-87.019196,40.58279
18709,3029880,PA,Highland North,2012.0,30,75.0,-78.71159399999999,40.312393
18742,3029914,IN,Meadow Lake IV,2010.0,47,98.7,-87.037094,40.669292
18751,3029924,ND,Wilton Wind Energy Center II,2009.0,33,49.5,-100.703888,47.12619
18765,3029938,MN,Lakefield,2011.0,137,205.5,-95.133492,43.612792999999996
19192,3030377,IL,Blackstone (Top Crop) II,2010.0,132,198.0,-88.478996,41.194191
19295,3030480,ND,Cedar Hills,2010.0,13,19.5,-103.783691,46.240894
19308,3030493,IN,Fowler Ridge II,2009.0,133,199.5,-87.523895,40.554790000000004
19362,3030548,IA,Lost Lakes Wind Farm,2009.0,61,100.65,-95.242592,43.36499
19391,3030577,PA,Stony Creek,2009.0,35,52.5,-78.844696,40.013992
19424,3030611,ND,Luverne,2009.0,33,49.5,-97.933495,47.336193
19473,3030660,MN,Willmar,2009.0,2,4.0,-95.00799599999999,45.156693
19490,3030680,MI,Stoney Corners - Repower,2009.0,7,14.35,-85.323296,44.19099
19491,3030682,NH,Granite Reliable Power,2012.0,33,99.0,-71.316002,44.840590999999996
19500,3030691,ME,Fox Islands,2009.0,3,4.5,-68.866302,44.09259
19503,3030694,PA,Chestnut Flats,2011.0,17,34.0,-78.488098,40.516391999999996
19504,3030695,ME,"Kibby Mountain, phase I",2009.0,22,66.0,-70.537796,45.410393
19530,3030722,SD,Titan I,2009.0,10,25.0,-99.163391,44.469093
19546,3030738,IL,White Oak,2011.0,100,150.0,-89.027397,40.562492
19564,3030756,MA,Mark Richey Woodworking,2009.0,1,0.6,-70.88069899999999,42.802890999999995
19565,3030757,IN,Meadow Lake II,2010.0,66,99.0,-87.089394,40.657191999999995
19647,3030840,IA,Osage Utilities,2009.0,1,1.5,-92.840591,43.292491999999996
19701,3030894,MO,Loess Hills Wind Project,2008.0,4,5.0,-95.53999300000001,40.414394
19705,3030898,MO,Cow Branch Wind Project,2008.0,24,50.4,-95.473495,40.443690999999994
19728,3030922,MO,Conception Wind Project,2008.0,24,50.4,-94.672195,40.257092
19752,3030946,MO,Bluegrass Ridge,2007.0,27,56.7,-94.486694,40.100390999999995
19779,3030973,ND,Prairie Winds ND 1,2009.0,77,115.5,-101.24069200000001,47.93869
19850,3031046,ND,Prairie Winds Minot Wind 2,2009.0,3,4.5,-101.280487,48.021190999999995
19858,3031055,MN,Bent Tree,2011.0,122,201.3,-93.47219100000001,43.790394
19985,3031183,MN,Elm Creek II,2010.0,62,148.8,-94.88839,43.672791
20003,3031201,MN,Shakopee Mdewakanton Sioux,2009.0,1,1.5,-93.48299399999999,44.736092
20004,3031202,IA,Crystal Lake III,2009.0,44,66.0,-93.90379300000001,43.374393
20047,3031245,MO,Lost Creek Ridge Wind Farm,2010.0,99,148.5,-94.48979200000001,40.030293
20154,3031352,MN,Taconite Ridge Energy Center,2008.0,10,25.0,-92.616089,47.572891
