,case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
56458,3087875,TX,Blue Summit II,2018.0,37,92.5,-99.480423,34.247562
56461,3087879,IA,Ivester,2018.0,35,90.825,-92.991577,42.334564
56643,3088151,TX,Desert Sky Repower,2001.0,18,33.3,-102.084595,30.913857
56720,3088261,CA,Correctional Training Facility,2018.0,1,1.7,-121.381569,36.466167
56767,3088326,CA,Nestle Waters II,2018.0,1,1.85,-116.753097,33.911694
56913,3088552,AK,Bethel Wind Turbine,2018.0,1,0.9,-161.884452,60.781362
56950,3088604,TX,Live Oak,2018.0,76,199.5,-100.683861,31.031121999999996
56954,3088608,IL,Mendota Hills Repowering,2019.0,29,76.125,-89.05524399999999,41.700886
56959,3088613,TX,Torrecillas,2018.0,120,300.0,-98.74073800000001,27.619425
56995,3088651,IA,Orient I,2018.0,51,102.0,-94.58315999999999,41.162628000000005
57011,3088667,IA,English Farms,2019.0,58,145.0,-92.414406,41.546638
57032,3088689,IA,Heartland Divide,2018.0,38,95.0,-94.868713,41.751469
57482,3089169,RI,WED Shun III,2018.0,1,3.0,-71.54933199999999,41.799068
57666,3089365,MN,Woodstock Hills Repower,2018.0,4,9.2,-96.07521,43.991058
57668,3089367,RI,WED Shun II,2018.0,1,3.0,-71.536224,41.800133
57682,3089381,RI,WED Shun I,2018.0,1,3.0,-71.54066,41.79845
57698,3089399,RI,WED Plainfield III,2018.0,1,3.0,-71.53062299999999,41.793527000000005
57797,3089507,RI,WED Green Hill,2018.0,1,3.0,-71.529739,41.797844
57812,3089522,MA,Nantucket High School,2010.0,1,0.1,-70.097771,41.272141999999995
57947,3089668,RI,WED Plainfield,2018.0,1,3.0,-71.53582800000001,41.79607
57974,3089696,RI,WED Plainfield II,2018.0,1,3.0,-71.539964,41.794581
58131,3089883,MN,Trondhjem (Wind-Solar Hybrid),2018.0,1,2.0,-96.161751,46.506741
58211,3090041,MN,St. Cloud VA Medical Center,2011.0,1,0.6,-94.208274,45.577093
58345,3090335,OH,Whirlpool Corp. Greenville Wind Farm,2018.0,3,4.5,-84.608215,40.127793
58398,3090400,TX,Woodward Mountain I & II,2001.0,113,74.58,-102.37249,30.954096000000003
58589,3090592,TX,Indian Mesa,2001.0,124,81.84,-102.22129100000001,30.959595
58812,3090827,IA,Charles City,2008.0,50,75.0,-92.766891,43.064293
58862,3090877,ND,Langdon,2007.0,37,59.94,-98.299988,48.689892
58940,3090955,ND,Langdon II,2008.0,27,43.74,-98.379288,48.605793
58994,3091010,OK,Elk City II,2010.0,18,29.16,-99.772194,35.470394
